Periode,Production_kW,Consommation_kW,Deficit_kW,Duree_h,Energie_TWh_ODS,Energie_TWh_calcul,Mois,Plage
Janvier 8 heures 13 heures,159175643.408708,244496758.942213,85321115.5335052,5.0,12.7981673300258,12.79816733002578,Janvier,8h-13h
Janvier 13 heures 18 heures,159175643.408708,244496758.942213,85321115.5335052,5.0,12.7981673300258,12.79816733002578,Janvier,13h-18h
Janvier 18 heures 20 heures,58603747.983871,92197372.0304091,33593624.0465381,2.0,2.01561744279229,2.0156174427922857,Janvier,18h-20h
Janvier 20 heures 23 heures,58603747.983871,78896822.6758773,20293074.6920063,3.0,1.82637672228056,1.826376722280567,Janvier,20h-23h
Janvier 23 heures 8 heures,58603747.983871,46467112.1837122,-12136635.8001587,9.0,0.0,0.0,Janvier,23h-8h
fevrier 8 heures 13 heures,180894253.849838,230527507.544425,49633253.6945874,5.0,7.44498805418811,7.44498805418811,Février,8h-13h
fevrier 13 heures 18 heures,180894253.849838,230527507.544425,49633253.6945874,5.0,7.44498805418811,7.44498805418811,Février,13h-18h
fevrier 18 heures 20 heures,56642117.0977012,78228120.6326217,21586003.5349205,2.0,1.29516021209523,1.29516021209523,Février,18h-20h
fevrier 20 heures 23 heures,56642117.0977012,64927571.2780898,8285454.18038866,3.0,0.745690876234979,0.7456908762349794,Février,20h-23h
fevrier 23 heures 8 heures,56642117.0977012,37154277.9185206,-19487839.1791806,9.0,0.0,0.0,Février,23h-8h
mars 8 heures 13 heures,215862764.287137,222046176.338626,6183412.0514892,5.0,0.927511807723381,0.92751180772338,Mars,8h-13h
mars 13 heures 18 heures,215862764.287137,222046176.338626,6183412.0514892,5.0,0.927511807723381,0.92751180772338,Mars,13h-18h
mars 18 heures 20 heures,215862764.287137,69746789.4268221,-146115974.860314,2.0,0.0,0.0,Mars,18h-20h
mars 20 heures 23 heures,50970788.9784947,56446240.0722903,5475451.09379564,3.0,0.492790598441608,0.49279059844160766,Mars,20h-23h
mars 23 heures 8 heures,50970788.9784947,31500057.1146543,-19470731.8638404,9.0,0.0,0.0,Mars,23h-8h
avril 8 heures 13 heures,209130466.975309,213315394.215009,4184927.23969993,5.0,0.62773908595499,0.6277390859549894,Avril,8h-13h
avril 13 heures 18 heures,209130466.975309,213315394.215009,4184927.23969993,5.0,0.62773908595499,0.6277390859549894,Avril,13h-18h
avril 18 heures 20 heures,209130466.975309,61016007.3032049,-148114459.672104,2.0,0.0,0.0,Avril,18h-20h
avril 20 heures 23 heures,44238491.6666666,47715457.948673,3476966.28200638,3.0,0.312926965380574,0.31292696538057424,Avril,20h-23h
avril 23 heures 8 heures,44238491.6666666,25679535.6989094,-18558955.9677572,9.0,0.0,0.0,Avril,23h-8h
mai 8 heures 13 heures,188931618.578256,175648305.624546,-13283312.9537097,5.0,0.0,0.0,Mai,8h-13h
mai 13 heures 18 heures,188931618.578256,175648305.624546,-13283312.9537097,5.0,0.0,0.0,Mai,13h-18h
mai 18 heures 20 heures,188931618.578256,23348918.7127424,-165582699.865513,2.0,0.0,0.0,Mai,18h-20h
mai 20 heures 23 heures,42137637.0967742,10048369.3582105,-32089267.7385637,3.0,0.0,0.0,Mai,20h-23h
mai 23 heures 8 heures,42137637.0967742,568143.305267724,-41569493.7915065,9.0,0.0,0.0,Mai,23h-8h
juin 8 heures 13 heures,178192997.382479,175648305.624546,-2544691.75793266,5.0,0.0,0.0,Juin,8h-13h
